chr	start	end	Annotation
chr1	156388923	156392429	promoter-TSS.(NR_029691)
chr1	156493418	156496536	TTS.(NM_178229)
chr1	156525367	156525523	intron.(NM_178229,.intron.12.of.37)
chr1	156551730	156553199	intron.(NM_001105669,.intron.3.of.10)
chr1	156569149	156572308	intron.(NM_182679,.intron.1.of.7)
chr1	156646660	156647169	exon.(NM_006617,.exon.1.of.4)
chr1	156742711	156743018	intron.(NM_005973,.intron.1.of.6)
chr1	156747149	156747331	intron.(NM_005973,.intron.1.of.6)
chr1	156840263	156840533	intron.(NM_001007792,.intron.7.of.16)
chr1	156840876	156841732	intron.(NM_001007792,.intron.7.of.16)
chr1	157014211	157017177	promoter-TSS.(NM_198236)
chr1	157117255	157119555	Intergenic
chr1	157133593	157134079	Intergenic
chr1	157150743	157153117	Intergenic
chr1	157168210	157168487	Intergenic
chr1	157328886	157330917	Intergenic
chr1	157464310	157465799	Intergenic
chr1	157519148	157525639	promoter-TSS.(NM_001195388)
chr1	157622080	157623409	Intergenic
chr1	157786943	157788055	intron.(NM_001159397,.intron.1.of.9)
chr1	157824202	157827424	Intergenic
chr1	158094055	158098607	Intergenic
chr1	158172031	158174751	Intergenic
chr1	158256133	158256698	Intergenic
chr1	158801215	158801536	intron.(NM_002432,.intron.1.of.6)
chr1	158921857	158922296	intron.(NM_198929,.intron.7.of.7)
chr1	159016210	159017027	intron.(NM_001206567,.intron.7.of.10)
chr1	159030635	159030848	Intergenic
chr1	159057228	159060391	Intergenic
chr1	159158095	159158247	intron.(NM_001127173,.intron.1.of.8)
chr1	159158256	159158415	intron.(NM_001127173,.intron.1.of.8)
chr1	159174429	159174658	promoter-TSS.(NM_001122951)
chr1	159823426	159825696	exon.(NM_001013661,.exon.7.of.7)
chr1	159838349	159839512	Intergenic
chr1	159879564	159881960	Intergenic
chr1	159887320	159896771	intron.(NM_003564,.intron.1.of.4)
chr1	159915234	159915542	promoter-TSS.(NM_001135050)
chr1	160097639	160098166	intron.(NM_000702,.intron.8.of.22)
chr1	160331815	160333046	Intergenic
chr1	160412742	160414148	Intergenic
chr1	160420746	160422322	Intergenic
chr1	160432032	160432226	Intergenic
chr1	160434817	160435155	Intergenic
chr1	160459499	160460365	intron.(NM_001184714,.intron.5.of.7)
chr1	160518262	160520111	intron.(NM_001184879,.intron.7.of.7)
chr1	160528193	160529267	intron.(NM_001184882,.intron.1.of.5)
chr1	160546877	160547929	intron.(NM_001184879,.intron.1.of.7)
chr1	160548259	160549707	intron.(NM_001184879,.intron.1.of.7)
chr1	160657922	160660545	intron.(NM_001256030,.intron.1.of.2)
chr1	160694596	160699536	Intergenic
chr1	160742644	160742832	Intergenic
chr1	160743106	160743287	Intergenic
chr1	160762678	160771670	intron.(NM_002348,.intron.1.of.9)
chr1	160774789	160775708	intron.(NM_002348,.intron.2.of.9)
chr1	160782413	160782596	intron.(NM_002348,.intron.2.of.9)
chr1	160807179	160807968	intron.(NM_016382,.intron.5.of.8)
chr1	160967405	160967561	3'.UTR.(NM_016946,.exon.10.of.10)
chr1	160981551	160981957	intron.(NM_016946,.intron.1.of.9)
chr1	161002098	161003242	Intergenic
chr1	161032947	161035273	intron.(NM_181720,.intron.1.of.12)
chr1	161081686	161082116	intron.(NM_012394,.intron.1.of.3)
chr1	161378423	161378697	Intergenic
chr1	161397685	161398624	Intergenic
chr1	161409095	161413918	Intergenic
chr1	161774941	161775201	intron.(NM_007348,.intron.7.of.15)
chr1	162359487	162359957	Intergenic
chr1	162539762	162545213	intron.(NM_003115,.intron.2.of.9)
chr1	162547523	162549575	intron.(NM_003115,.intron.3.of.9)
chr1	162577272	162577558	Intergenic
chr1	162581971	162584317	Intergenic
chr1	162595691	162598077	Intergenic
chr1	162598529	162604917	promoter-TSS.(NM_006182)
chr1	163290219	163292738	promoter-TSS.(NM_145697)
chr1	163564661	163568348	Intergenic
chr1	164415499	164416552	Intergenic
chr1	164548268	164548484	intron.(NM_002585,.intron.2.of.8)
chr1	165187202	165194024	intron.(NM_001174069,.intron.4.of.8)
chr1	165686605	165688062	Intergenic
chr1	165698493	165698784	intron.(NR_045818,.intron.6.of.6)
chr1	165705278	165710119	intron.(NR_045818,.intron.6.of.6)
chr1	165733642	165734562	intron.(NR_045818,.intron.2.of.6)
chr1	165823022	165823575	intron.(NM_012474,.intron.1.of.6)
chr1	165842208	165842387	intron.(NM_012474,.intron.1.of.6)
chr1	165844270	165845295	intron.(NM_012474,.intron.1.of.6)
chr1	165848976	165850141	intron.(NM_012474,.intron.1.of.6)
chr1	165850818	165851809	intron.(NM_012474,.intron.1.of.6)
chr1	165853986	165854525	intron.(NM_012474,.intron.1.of.6)
chr1	165857067	165858584	intron.(NM_012474,.intron.1.of.6)
chr1	165863897	165869147	intron.(NM_012474,.intron.4.of.6)
chr1	165895094	165895408	Intergenic
chr1	165895544	165898238	Intergenic
chr1	166353096	166353292	Intergenic
chr1	166458268	166460651	Intergenic
chr1	167222633	167222910	intron.(NM_001198786,.intron.1.of.14)
chr1	167311593	167315848	intron.(NM_001198783,.intron.2.of.15)
chr1	167370618	167371536	intron.(NM_001198783,.intron.13.of.15)
chr1	167415531	167418720	intron.(NM_198053,.intron.1.of.7)
chr1	167524844	167525152	Intergenic
chr1	167626142	167626343	intron.(NM_052862,.intron.1.of.6)
chr1	167672076	167679252	TTS.(NM_052862)
chr1	167788712	167789968	intron.(NM_001297772,.intron.30.of.32)
chr1	167891496	167891752	intron.(NR_026550,.intron.2.of.4)
chr1	168311979	168313529	Intergenic
chr1	168931732	168931921	intron.(NR_104091,.intron.3.of.4)
chr1	169082417	169083691	intron.(NM_001677,.intron.2.of.5)
chr1	169394601	169397429	intron.(NM_001300968,.intron.2.of.6)
chr1	169555467	169556415	promoter-TSS.(NM_000130)
chr1	169636658	169637654	Intergenic
chr1	169649584	169649726	Intergenic
chr1	169649895	169650693	Intergenic
chr1	169658702	169659009	TTS.(NM_000655)
chr1	169660398	169660947	non-coding.(NR_029467,.exon.7.of.7)
chr1	169660978	169663059	intron.(NR_029467,.intron.6.of.6)
chr1	169668097	169668303	intron.(NR_029467,.intron.5.of.6)
chr1	169677122	169678150	exon.(NM_000655,.exon.3.of.9)
chr1	169678769	169679452	intron.(NM_000655,.intron.2.of.8)
chr1	169680151	169681371	promoter-TSS.(NM_000655)
chr1	169765156	169765542	intron.(NM_018186,.intron.1.of.23)
chr1	169876978	169880656	Intergenic
chr1	169883631	169885686	Intergenic
chr1	169887062	169889118	Intergenic
chr1	170876222	170876415	Intergenic
chr1	171219728	171223097	intron.(NM_001282694,.intron.1.of.7)
chr1	171389253	171389422	Intergenic
chr1	171469998	171471511	intron.(NM_015172,.intron.1.of.33)
chr1	172364272	172364466	intron.(NM_015569,.intron.20.of.20)
chr1	172418953	172420473	intron.(NM_139240,.intron.3.of.6)
chr1	172814559	172814748	Intergenic
chr1	173377999	173390362	intron.(NR_037845,.intron.2.of.2)
chr1	173448451	173448856	intron.(NM_004905,.intron.1.of.4)
chr1	173651091	173652658	Intergenic
chr1	173869785	173870013	Intergenic
chr1	174013086	174015545	Intergenic
chr1	174147759	174148045	intron.(NM_014857,.intron.1.of.20)
chr1	174185212	174191796	intron.(NM_014857,.intron.2.of.20)
chr1	174219871	174220004	intron.(NM_014857,.intron.6.of.20)
chr1	174681330	174681826	intron.(NM_014857,.intron.17.of.20)
chr1	174818351	174818724	intron.(NM_001243765,.intron.2.of.8)
chr1	174907417	174908241	intron.(NR_121196,.intron.3.of.5)
chr1	174952083	174952500	intron.(NM_001243764,.intron.5.of.6)
chr1	174952668	174952947	intron.(NM_001243764,.intron.5.of.6)
chr1	175286808	175291149	Intergenic
chr1	175567421	175570101	intron.(NM_003285,.intron.1.of.22)
chr1	177001267	177001808	intron.(NM_001286164,.intron.3.of.22)
chr1	177318513	177318662	Intergenic
chr1	177420832	177420975	Intergenic
chr1	177792830	177794734	Intergenic
chr1	177938306	177940218	promoter-TSS.(NM_033127)
chr1	177952034	177953899	Intergenic
chr1	177954957	177955918	Intergenic
chr1	178140540	178140768	intron.(NM_170692,.intron.1.of.17)
chr1	178337689	178337933	intron.(NM_004841,.intron.1.of.15)
chr1	178558442	178558652	Intergenic
chr1	178626119	178631136	Intergenic
chr1	178997944	178999526	intron.(NM_014864,.intron.1.of.7)
chr1	179221720	179221885	Intergenic
chr1	179285792	179288254	intron.(NM_001252511,.intron.2.of.14)
chr1	179299789	179300218	intron.(NM_001252512,.intron.2.of.14)
chr1	179300236	179300691	intron.(NM_001252512,.intron.2.of.14)
chr1	179887120	179887307	exon.(NM_015602,.exon.10.of.10)
chr1	179947394	179948501	intron.(NM_014810,.intron.1.of.37)
chr1	179948503	179948789	intron.(NM_014810,.intron.1.of.37)
chr1	180350048	180352198	intron.(NM_032360,.intron.6.of.7)
chr1	180451095	180452677	intron.(NM_032360,.intron.3.of.7)
chr1	180470079	180470301	intron.(NM_032360,.intron.1.of.7)
chr1	180621909	180622127	intron.(NM_004736,.intron.1.of.14)
chr1	181095416	181107286	Intergenic
chr1	181110064	181111788	Intergenic
chr1	181116955	181123890	Intergenic
chr1	181159308	181159480	Intergenic
chr1	181531049	181532573	intron.(NM_001205293,.intron.3.of.47)
chr1	181562886	181563021	intron.(NM_001205293,.intron.6.of.47)
chr1	182228174	182229832	intron.(NR_104175,.intron.2.of.2)
chr1	182336819	182339087	Intergenic
chr1	182342962	182344919	Intergenic
chr1	182357893	182362441	intron.(NM_002065,.intron.1.of.7)
chr1	182990383	183033274	intron.(NM_002293,.intron.1.of.27)
chr1	183087549	183096738	intron.(NM_002293,.intron.13.of.27)
chr1	183216271	183216845	TTS.(NM_015039)
chr1	183467321	183467815	intron.(NM_001174061,.intron.1.of.21)
chr1	183602312	183605836	intron.(NM_001270439,.intron.1.of.3)
chr1	183774309	183774619	intron.(NM_001297672,.intron.1.of.16)
chr1	183776394	183776900	intron.(NM_001297672,.intron.2.of.16)
chr1	184079578	184079832	Intergenic
chr1	184125945	184131240	Intergenic
chr1	184133118	184133419	Intergenic
chr1	184134846	184135270	Intergenic
chr1	184269161	184272429	Intergenic
chr1	184305497	184305647	Intergenic
chr1	184328030	184330730	Intergenic
chr1	184354755	184358764	intron.(NM_030806,.intron.1.of.5)
chr1	184422394	184423014	intron.(NM_030806,.intron.1.of.5)
chr1	184424664	184426231	intron.(NM_030806,.intron.1.of.5)
chr1	184452090	184452821	intron.(NM_030806,.intron.2.of.5)
chr1	184458761	184466446	intron.(NM_030806,.intron.2.of.5)
chr1	184476261	184477339	exon.(NM_030806,.exon.3.of.6)
chr1	184526907	184528060	intron.(NM_030806,.intron.3.of.5)
chr1	184528127	184528500	intron.(NM_030806,.intron.3.of.5)
chr1	184532925	184533336	intron.(NM_030806,.intron.3.of.5)
chr1	184615973	184620451	Intergenic
chr1	184693486	184693756	intron.(NM_025191,.intron.7.of.19)
chr1	184710706	184719396	intron.(NM_025191,.intron.2.of.19)
chr1	184762008	184762191	3'.UTR.(NM_052966,.exon.14.of.14)
chr1	184796490	184797177	intron.(NM_052966,.intron.6.of.13)
chr1	184812072	184813597	intron.(NM_052966,.intron.5.of.13)
chr1	184828860	184831189	intron.(NM_052966,.intron.5.of.13)
chr1	184835295	184838345	intron.(NM_052966,.intron.5.of.13)
chr1	185345401	185346291	Intergenic
chr1	185353489	185353790	Intergenic
chr1	185536899	185537114	intron.(NR_110793,.intron.2.of.3)
chr1	185572846	185573052	intron.(NR_110793,.intron.2.of.3)
chr1	185577581	185577822	intron.(NR_110793,.intron.2.of.3)
chr1	185606333	185606483	Intergenic
chr1	185861965	185862350	intron.(NM_031935,.intron.4.of.106)
chr1	186393644	186394287	intron.(NR_031642,.intron.1.of.3)
chr1	186449653	186449988	Intergenic
chr1	186648065	186653959	TTS.(NR_125801)
chr1	186727190	186728104	Intergenic
chr1	186728936	186731906	Intergenic
chr1	186733669	186746052	Intergenic
chr1	186748858	186749358	Intergenic
chr1	186766254	186777035	Intergenic
chr1	186786761	186789991	Intergenic
chr1	186796910	186800374	intron.(NM_001311193,.intron.1.of.15)
chr1	186831421	186831569	intron.(NM_001311193,.intron.2.of.15)
chr1	187021273	187021462	Intergenic
chr1	187238562	187240742	intron.(NR_126347,.intron.1.of.3)
chr1	188332846	188333326	Intergenic
chr1	189109728	189109974	Intergenic
chr1	189117516	189117793	Intergenic
chr1	189118531	189125948	Intergenic
chr1	189126005	189126243	Intergenic
chr1	189126579	189131513	Intergenic
chr1	189133476	189135484	Intergenic
chr1	189144756	189144901	Intergenic
chr1	189147831	189149988	Intergenic
chr1	189173392	189173605	Intergenic
chr1	189173725	189173870	Intergenic
chr1	189182292	189182848	Intergenic
chr1	189282394	189283734	Intergenic
chr1	189283932	189284264	Intergenic
chr1	189320185	189320998	Intergenic
chr1	189723309	189725056	Intergenic
chr1	189807763	189808176	Intergenic
chr1	189987930	189990331	Intergenic
chr1	190344654	190346193	intron.(NM_199051,.intron.2.of.7)
chr1	190347136	190347468	intron.(NM_199051,.intron.2.of.7)
chr1	190350099	190350345	intron.(NM_199051,.intron.2.of.7)
chr1	190350382	190350661	intron.(NM_199051,.intron.2.of.7)
chr1	190367805	190369148	intron.(NM_199051,.intron.2.of.7)
chr1	190548441	190549352	Intergenic
chr1	190549362	190549783	Intergenic
chr1	191664539	191665291	Intergenic
chr1	192127134	192129051	intron.(NM_130782,.intron.1.of.4)
chr1	192137864	192138198	intron.(NM_130782,.intron.3.of.4)
chr1	192312496	192312774	intron.(NM_001039152,.intron.2.of.4)
chr1	192445837	192446254	Intergenic
chr1	192459240	192459465	Intergenic
chr1	192534220	192534369	Intergenic
chr1	192774840	192781212	promoter-TSS.(NM_002923)
chr1	192994118	192994296	intron.(NM_001199262,.intron.7.of.11)
chr1	193087858	193088315	Intergenic
chr1	193537547	193540266	Intergenic
chr1	193849077	193849275	Intergenic
chr1	194020949	194023014	Intergenic
chr1	194075997	194076140	Intergenic
chr1	194360948	194366459	Intergenic
chr1	194436301	194438458	Intergenic
chr1	194471174	194473672	Intergenic
chr1	194568660	194571038	Intergenic
chr1	194668084	194668703	Intergenic
chr1	194673968	194675724	Intergenic
chr1	194937483	194938195	Intergenic
chr1	194938336	194939005	Intergenic
chr1	195039506	195042339	Intergenic
chr1	195246433	195250233	Intergenic
chr1	195562173	195564327	Intergenic
chr1	196114937	196116998	Intergenic
chr1	196184831	196188617	Intergenic
chr1	196239434	196242122	intron.(NM_001287819,.intron.24.of.26)
chr1	196526455	196529028	intron.(NM_001287819,.intron.1.of.26)
chr1	196576825	196579131	promoter-TSS.(NM_198503)
chr1	196741253	196745969	promoter-TSS.(NM_001166624)
chr1	196835060	196838572	Intergenic
chr1	197489471	197490267	intron.(NR_125340,.intron.17.of.19)
chr1	197563322	197565619	intron.(NR_125340,.intron.12.of.19)
chr1	197749925	197753231	Intergenic
chr1	197774747	197779413	Intergenic
chr1	197889839	197891093	exon.(NM_001014434,.exon.4.of.6)
chr1	198587593	198594806	Intergenic
chr1	198605600	198606343	Intergenic
chr1	198606521	198606749	Intergenic
chr1	198607002	198609363	promoter-TSS.(NM_002838)
chr1	198609365	198612034	intron.(NR_052021,.intron.2.of.2)
chr1	198618993	198619154	intron.(NR_052021,.intron.2.of.2)
chr1	198624399	198625262	intron.(NR_052021,.intron.2.of.2)
chr1	198625351	198626121	intron.(NR_052021,.intron.2.of.2)
chr1	198626280	198627484	intron.(NR_052021,.intron.2.of.2)
chr1	198629881	198630096	intron.(NR_052021,.intron.2.of.2)
chr1	198633719	198634256	intron.(NR_052021,.intron.2.of.2)
chr1	198636926	198639386	intron.(NR_052021,.intron.2.of.2)
chr1	198639842	198640059	intron.(NR_052021,.intron.2.of.2)
chr1	198640150	198640499	intron.(NR_052021,.intron.2.of.2)
chr1	198640555	198641105	intron.(NR_052021,.intron.2.of.2)
chr1	198641293	198641706	intron.(NR_052021,.intron.2.of.2)
chr1	198642897	198643105	intron.(NR_052021,.intron.2.of.2)
chr1	198646475	198646688	intron.(NR_052021,.intron.2.of.2)
chr1	198664667	198664928	TTS.(NM_001267798)
chr1	198665351	198666816	intron.(NM_002838,.intron.4.of.32)
chr1	198669753	198670105	intron.(NM_002838,.intron.5.of.32)
chr1	198670294	198670781	intron.(NM_002838,.intron.5.of.32)
chr1	198670866	198671287	intron.(NM_002838,.intron.5.of.32)
chr1	198847517	198847865	intron.(NR_040073,.intron.2.of.2)
chr1	198849666	198850993	intron.(NR_040073,.intron.2.of.2)
chr1	198851095	198851931	intron.(NR_040073,.intron.2.of.2)
chr1	198852004	198852427	intron.(NR_040073,.intron.2.of.2)
chr1	198884906	198894330	intron.(NR_040073,.intron.1.of.2)
chr1	198895977	198897055	intron.(NR_040073,.intron.1.of.2)
chr1	198897143	198907961	intron.(NR_040073,.intron.1.of.2)
chr1	199034033	199039207	intron.(NR_126351,.intron.2.of.2)
chr1	199057700	199059808	Intergenic
chr1	199194819	199195428	Intergenic
chr1	199900953	199902035	Intergenic
chr1	200041308	200043645	intron.(NM_001276464,.intron.4.of.6)
chr1	200273207	200277335	Intergenic
chr1	200592504	200598991	Intergenic
chr1	200621819	200623056	intron.(NM_001031725,.intron.4.of.7)
chr1	200706763	200711427	intron.(NM_001297707,.intron.1.of.17)
chr1	200743632	200744003	intron.(NM_001297707,.intron.2.of.17)
chr1	200744007	200744408	intron.(NM_001297707,.intron.2.of.17)
chr1	200748482	200751828	intron.(NM_001297707,.intron.2.of.17)
chr1	200843172	200843506	TTS.(NM_005298)
chr1	200859291	200866674	promoter-TSS.(NM_001142569)
chr1	200971527	200971931	intron.(NM_001252102,.intron.8.of.34)
chr1	200976670	200977774	intron.(NM_001252102,.intron.3.of.34)
chr1	200979168	200979501	intron.(NM_001252102,.intron.1.of.34)
chr1	200982147	200985339	intron.(NM_001252102,.intron.1.of.34)
chr1	200994207	200996848	Intergenic
chr1	201437123	201439028	non-coding.(NR_073080,.exon.1.of.3)
chr1	201470480	201470702	intron.(NM_004078,.intron.1.of.5)
chr1	201493925	201494402	Intergenic
chr1	201687775	201690115	TTS.(NR_049823)
chr1	201731658	201735908	intron.(NM_001167738,.intron.1.of.26)
chr1	201940854	201942381	Intergenic
chr1	201998881	201999285	Intergenic
chr1	202309434	202311673	intron.(NM_001310326,.intron.1.of.6)
chr1	202451616	202455325	intron.(NM_032103,.intron.1.of.11)
chr1	202456960	202457156	intron.(NM_032103,.intron.1.of.11)
chr1	202457473	202458261	intron.(NM_032103,.intron.2.of.11)
chr1	202481531	202484146	intron.(NM_032103,.intron.6.of.11)
chr1	202819744	202819975	Intergenic
chr1	202820080	202820382	Intergenic
chr1	202830500	202830678	promoter-TSS.(NR_002929)
chr1	202856510	202859508	intron.(NM_002871,.intron.1.of.1)
chr1	202921574	202921806	intron.(NM_015999,.intron.1.of.7)
chr1	202995589	202996375	intron.(NM_001304331,.intron.1.of.29)
chr1	203299731	203302125	Intergenic
chr1	203582136	203582340	Intergenic
chr1	203582466	203583082	Intergenic
chr1	203663441	203663752	intron.(NM_001001396,.intron.2.of.21)
chr1	203695344	203695739	intron.(NM_001001396,.intron.19.of.21)
chr1	203717596	203717810	Intergenic
chr1	203780983	203781293	intron.(NM_014827,.intron.4.of.19)
chr1	204255434	204256813	intron.(NM_014935,.intron.1.of.22)
chr1	204414886	204417160	intron.(NM_002646,.intron.16.of.33)
chr1	204430988	204431164	intron.(NM_002646,.intron.6.of.33)
chr1	204433769	204437144	intron.(NM_002646,.intron.3.of.33)
chr1	204447595	204453005	intron.(NM_002646,.intron.2.of.33)
chr1	204574332	204575368	Intergenic
chr1	204615740	204616910	intron.(NM_201630,.intron.1.of.1)
chr1	204619680	204623306	intron.(NM_201630,.intron.1.of.1)
chr1	204640944	204657342	intron.(NM_201630,.intron.1.of.1)
chr1	204659385	204663793	Intergenic
chr1	204671654	204677530	Intergenic
chr1	204678199	204678617	Intergenic
chr1	204678827	204687222	Intergenic
chr1	204961128	204961947	intron.(NM_001160331,.intron.24.of.26)
chr1	205227996	205229514	intron.(NM_001297613,.intron.1.of.3)
chr1	205375288	205376045	intron.(NR_037583,.intron.2.of.3)
chr1	205560530	205561454	intron.(NM_181644,.intron.6.of.9)
chr1	205568866	205569344	intron.(NM_181644,.intron.9.of.9)
chr1	205569424	205569781	3'.UTR.(NM_181644,.exon.10.of.10)
chr1	205634674	205635133	intron.(NM_033102,.intron.1.of.4)
chr1	205635292	205635588	intron.(NM_033102,.intron.1.of.4)
chr1	205635699	205635868	intron.(NM_033102,.intron.1.of.4)
chr1	205637337	205640434	intron.(NM_033102,.intron.1.of.4)
chr1	205640996	205641210	intron.(NM_033102,.intron.1.of.4)
chr1	205711814	205712267	intron.(NM_022731,.intron.1.of.6)
chr1	205742985	205745201	5'.UTR.(NM_001135662,.exon.2.of.6)
chr1	205759817	205763018	intron.(NM_173854,.intron.10.of.10)
chr1	205763045	205763663	intron.(NM_173854,.intron.10.of.10)
chr1	205763747	205764658	intron.(NM_173854,.intron.9.of.10)
chr1	205775147	205775303	intron.(NM_173854,.intron.2.of.10)
chr1	205778559	205778806	intron.(NM_173854,.intron.2.of.10)
chr1	205791120	205791678	Intergenic
chr1	205791698	205793895	Intergenic
chr1	205795405	205795681	Intergenic
chr1	205796182	205796397	TTS.(NM_152491)
chr1	205818350	205819503	intron.(NM_152491,.intron.1.of.12)
chr1	206093205	206110917	Intergenic
chr1	206280710	206280923	intron.(NM_001007544,.intron.1.of.5)
chr1	206281719	206283803	intron.(NM_001007544,.intron.1.of.5)
chr1	206285101	206285306	intron.(NM_001007544,.intron.1.of.5)
chr1	206285331	206285968	intron.(NM_001007544,.intron.1.of.5)
chr1	206286058	206295117	Intergenic
chr1	206295198	206295405	Intergenic
chr1	206297329	206297461	Intergenic
chr1	206299010	206299187	Intergenic
chr1	206299239	206302643	Intergenic
chr1	206303360	206304973	Intergenic
chr1	206304978	206307575	Intergenic
chr1	206328595	206329070	exon.(NM_001910,.exon.7.of.9)
chr1	206602824	206603783	intron.(NM_015326,.intron.10.of.19)
chr1	206603848	206604529	intron.(NM_015326,.intron.11.of.19)
chr1	206647890	206649104	TTS.(NR_106919)
chr1	206766021	206766267	intron.(NM_006893,.intron.14.of.14)
chr1	206906124	206906484	3'.UTR.(NM_032960,.exon.10.of.10)
chr1	206942132	206943542	intron.(NM_000572,.intron.4.of.4)
chr1	206943808	206944244	intron.(NM_000572,.intron.3.of.4)
chr1	206945747	206945958	promoter-TSS.(NM_000572)
chr1	206946340	206946482	promoter-TSS.(NM_000572)
chr1	206955396	206959387	Intergenic
chr1	206963455	206964907	Intergenic
chr1	207001416	207003907	intron.(NM_013371,.intron.1.of.6)
chr1	207063511	207063683	Intergenic
chr1	207198112	207198370	exon.(NM_023938,.exon.3.of.4)
chr1	207231515	207234048	intron.(NM_006212,.intron.2.of.14)
chr1	207242486	207242680	intron.(NM_006212,.intron.10.of.14)
chr1	207244020	207244263	intron.(NM_006212,.intron.12.of.14)
chr1	207585103	207585250	Intergenic
chr1	207588077	207588309	Intergenic
chr1	207588607	207588763	Intergenic
chr1	207597295	207597464	Intergenic
chr1	207597737	207598189	Intergenic
chr1	207603011	207603175	Intergenic
chr1	207627245	207629056	intron.(NM_001006658,.intron.1.of.19)
chr1	207669207	207670288	intron.(NM_000651,.intron.1.of.46)
chr1	207817879	207818737	promoter-TSS.(NM_175710)
chr1	207842697	207843174	intron.(NM_175710,.intron.1.of.11)
chr1	207843184	207843465	intron.(NM_175710,.intron.1.of.11)
chr1	207844012	207844201	intron.(NM_175710,.intron.1.of.11)
chr1	207844241	207844492	intron.(NM_175710,.intron.1.of.11)
chr1	207900676	207902284	Intergenic
chr1	208416267	208418931	promoter-TSS.(NM_025179)
chr1	208777432	208777924	Intergenic
chr1	209140205	209142041	Intergenic
chr1	209161081	209163713	Intergenic
chr1	209235428	209238584	Intergenic
chr1	209250537	209250827	Intergenic
chr1	209255286	209255961	Intergenic
chr1	209256485	209258112	Intergenic
chr1	209264958	209265961	Intergenic
chr1	209269030	209269459	Intergenic
chr1	209291231	209291533	Intergenic
chr1	209296901	209297374	Intergenic
chr1	209298521	209298861	Intergenic
chr1	209303548	209309625	Intergenic
chr1	209380089	209382062	Intergenic
chr1	209822390	209822614	intron.(NM_000228,.intron.3.of.22)
chr1	209924063	209926424	Intergenic
chr1	209928045	209932712	intron.(NR_109871,.intron.1.of.12)
chr1	209946564	209949997	intron.(NR_109871,.intron.9.of.12)
chr1	210000305	210002371	promoter-TSS.(NM_014388)
chr1	210273001	210273300	intron.(NM_001256006,.intron.6.of.8)
chr1	210419243	210420101	Intergenic
chr1	210420118	210421228	Intergenic
chr1	210423870	210425788	Intergenic
chr1	210501486	210503471	promoter-TSS.(NM_001170580)
chr1	210504715	210507218	intron.(NM_001170580,.intron.1.of.11)
chr1	210546846	210548036	intron.(NM_018194,.intron.3.of.11)
chr1	210850841	210851784	TTS.(NM_002238)
chr1	211482195	211484125	intron.(NM_001136224,.intron.10.of.10)
chr1	211503786	211503940	intron.(NM_001033910,.intron.1.of.10)
chr1	211564087	211567094	intron.(NR_026761,.intron.3.of.5)
chr1	211745390	211747837	Intergenic
chr1	211848382	211849706	promoter-TSS.(NM_001204182)
chr1	211860473	211861624	Intergenic
chr1	212205332	212205608	intron.(NR_037667,.intron.1.of.20)
chr1	212411374	212411891	intron.(NR_125984,.intron.2.of.3)
chr1	212434731	212435033	intron.(NR_125984,.intron.1.of.3)
chr1	212616088	212616235	intron.(NM_013349,.intron.2.of.3)
chr1	212629215	212629466	Intergenic
chr1	212629626	212629848	Intergenic
chr1	212659202	212659535	Intergenic
chr1	212731039	212733882	Intergenic
chr1	212767861	212771162	intron.(NM_001030287,.intron.1.of.3)
chr1	212779610	212785435	intron.(NM_001206488,.intron.1.of.3)
chr1	212809910	212810356	Intergenic
chr1	212894699	212894929	Intergenic
chr1	213414873	213415060	exon.(NM_001136138,.exon.10.of.14)
chr1	213415972	213424483	intron.(NM_001287218,.intron.12.of.14)
chr1	213611827	213612273	Intergenic
chr1	213612385	213613263	Intergenic
chr1	213728748	213728924	Intergenic
chr1	214160534	214163557	5'.UTR.(NM_002763,.exon.1.of.5)
chr1	215702853	215703151	Intergenic
chr1	215716681	215716912	Intergenic
chr1	215739454	215745148	intron.(NM_016121,.intron.1.of.17)
chr1	216034974	216035233	intron.(NM_206933,.intron.44.of.71)
chr1	216063696	216063890	intron.(NM_206933,.intron.40.of.71)
chr1	216411415	216411968	intron.(NM_206933,.intron.13.of.71)
chr1	216714220	216714646	intron.(NM_206594,.intron.7.of.8)
chr1	216749442	216749612	intron.(NM_001243505,.intron.3.of.6)
chr1	216777985	216778743	intron.(NM_001243505,.intron.3.of.6)
chr1	216778747	216779113	intron.(NM_001243505,.intron.3.of.6)
chr1	216803465	216803796	intron.(NM_001243505,.intron.3.of.6)
chr1	216839076	216839357	intron.(NM_001243506,.intron.2.of.6)
chr1	216881745	216882054	intron.(NM_001243518,.intron.1.of.7)
chr1	216891836	216898219	intron.(NM_001243513,.intron.1.of.7)
chr1	216913117	216913265	intron.(NM_001243513,.intron.1.of.7)
chr1	216937342	216942102	intron.(NM_001243513,.intron.1.of.7)
chr1	217009596	217009943	intron.(NM_001243513,.intron.1.of.7)
chr1	217069748	217069924	intron.(NM_001243507,.intron.2.of.7)
chr1	217247710	217253172	promoter-TSS.(NM_001243509)
chr1	217261923	217264391	promoter-TSS.(NM_001243506)
chr1	217541682	217544157	Intergenic
chr1	218926519	218929227	intron.(NR_031644,.intron.4.of.6)
chr1	219295752	219298571	intron.(NR_038845,.intron.3.of.4)
chr1	219345806	219352437	intron.(NM_001300772,.intron.1.of.4)
chr1	219358257	219364327	intron.(NM_001300769,.intron.2.of.3)
chr1	220418615	220418942	intron.(NM_012414,.intron.1.of.34)
